time;speed;;;;;;;
1;2;;;;;;;
2;3;;;;;;;
3;4;;;;;;;
4;5;;;;;;;
5;6;;;;;;;
6;7;;;;;;;
7;8;;;;;;;
8;9;;;;;;;
9;10;;;;;;;
10;11;;;;;;;
11;12;;;;;;;
12;13;;;;;;;
13;0;;;;;;;
14;1;;;;;;;
15;2;;;;;;;
16;3;;;;;;;
17;4;;;;;;;
18;5;;;;;;;
19;6;;;;;;;
20;7;;;;;;;
21;8;;;;;;;
22;9;;;;;;;
23;10;;;;;;;
24;11;;;;;;;
25;12;;;;;;;
26;13;;;;;;;
27;0;;;;;;;
28;1;;;;;;;
29;2;;;;;;;
30;3;;;;;;;
31;4;;;;;;;
32;5;;;;;;;
33;6;;;;;;;
34;7;;;;;;;
35;8;;;;;;;
36;9;;;;;;;
37;10;;;;;;;
38;11;;;;;;;
39;12;;;;;;;
40;13;;;;;;;
41;0;;;;;;;
42;1;;;;;;;
43;2;;;;;;;
44;3;;;;;;;
45;4;;;;;;;
46;5;;;;;;;
47;6;;;;;;;
48;7;;;;;;;
49;8;;;;;;;
50;9;;;;;;;
51;10;;;;;;;
52;11;;;;;;;
53;12;;;;;;;
54;13;;;;;;;
55;0;;;;;;;
56;1;;;;;;;
57;2;;;;;;;
58;3;;;;;;;
59;4;;;;;;;
60;5;;;;;;;
61;6;;;;;;;
62;7;;;;;;;
63;8;;;;;;;
64;9;;;;;;;
65;10;;;;;;;
66;11;;;;;;;
67;12;;;;;;;
68;13;;;;;;;
69;0;;;;;;;
70;1;;;;;;;
71;2;;;;;;;
72;3;;;;;;;
73;4;;;;;;;
74;5;;;;;;;
75;6;;;;;;;
76;7;;;;;;;
77;8;;;;;;;
78;9;;;;;;;
79;10;;;;;;;
80;11;;;;;;;
81;12;;;;;;;
82;13;;;;;;;
83;0;;;;;;;
84;1;;;;;;;
85;2;;;;;;;
86;3;;;;;;;
87;4;;;;;;;
88;5;;;;;;;
89;6;;;;;;;
90;7;;;;;;;
91;8;;;;;;;
92;9;;;;;;;
93;10;;;;;;;
94;11;;;;;;;
95;12;;;;;;;
96;13;;;;;;;
97;0;;;;;;;
98;1;;;;;;;
99;2;;;;;;;
100;3;;;;;;;
101;4;;;;;;;
102;5;;;;;;;
103;6;;;;;;;
104;7;;;;;;;
105;8;;;;;;;
106;9;;;;;;;
107;10;;;;;;;
108;11;;;;;;;
109;12;;;;;;;
110;13;;;;;;;
111;0;;;;;;;
112;1;;;;;;;
113;2;;;;;;;
114;3;;;;;;;
115;4;;;;;;;
116;5;;;;;;;
117;6;;;;;;;
118;7;;;;;;;
119;8;;;;;;;
120;9;;;;;;;
121;10;;;;;;;
122;11;;;;;;;
123;12;;;;;;;
124;13;;;;;;;
125;0;;;;;;;
126;1;;;;;;;
127;2;;;;;;;
128;3;;;;;;;
129;4;;;;;;;
130;5;;;;;;;
131;6;;;;;;;
132;7;;;;;;;
133;8;;;;;;;
134;9;;;;;;;
135;10;;;;;;;
136;11;;;;;;;
137;12;;;;;;;
138;13;;;;;;;
139;0;;;;;;;
140;1;;;;;;;
141;2;;;;;;;
142;3;;;;;;;
143;4;;;;;;;
144;5;;;;;;;
145;6;;;;;;;
146;7;;;;;;;
147;8;;;;;;;
148;9;;;;;;;
149;10;;;;;;;
150;11;;;;;;;
151;12;;;;;;;
152;13;;;;;;;
153;0;;;;;;;
154;1;;;;;;;
155;2;;;;;;;
156;3;;;;;;;
157;4;;;;;;;
158;5;;;;;;;
159;6;;;;;;;
160;7;;;;;;;
161;8;;;;;;;
162;9;;;;;;;
163;10;;;;;;;
164;11;;;;;;;
165;12;;;;;;;
166;13;;;;;;;
167;0;;;;;;;
168;1;;;;;;;
169;2;;;;;;;
170;3;;;;;;;
171;4;;;;;;;
172;5;;;;;;;
173;6;;;;;;;
174;7;;;;;;;
175;8;;;;;;;
176;9;;;;;;;
177;10;;;;;;;
178;11;;;;;;;
179;12;;;;;;;
180;13;;;;;;;
181;0;;;;;;;
182;1;;;;;;;
183;2;;;;;;;
184;3;;;;;;;
185;4;;;;;;;
186;5;;;;;;;
187;6;;;;;;;
188;7;;;;;;;
189;8;;;;;;;
190;9;;;;;;;
191;10;;;;;;;
192;11;;;;;;;
193;12;;;;;;;
194;13;;;;;;;
195;0;;;;;;;
196;1;;;;;;;
197;2;;;;;;;
198;3;;;;;;;
199;4;;;;;;;
200;5;;;;;;;
201;6;;;;;;;
202;7;;;;;;;
203;8;;;;;;;
204;9;;;;;;;
205;10;;;;;;;
206;11;;;;;;;
207;12;;;;;;;
208;13;;;;;;;
209;0;;;;;;;
210;1;;;;;;;
211;2;;;;;;;
212;3;;;;;;;
213;4;;;;;;;
214;5;;;;;;;
215;6;;;;;;;
216;7;;;;;;;
217;8;;;;;;;
218;9;;;;;;;
219;10;;;;;;;
220;11;;;;;;;
221;12;;;;;;;
222;13;;;;;;;
223;0;;;;;;;
224;1;;;;;;;
225;2;;;;;;;
226;3;;;;;;;
227;4;;;;;;;
228;5;;;;;;;
229;6;;;;;;;
230;7;;;;;;;
231;8;;;;;;;
232;9;;;;;;;
233;10;;;;;;;
234;11;;;;;;;
235;12;;;;;;;
236;13;;;;;;;
237;0;;;;;;;
238;1;;;;;;;
239;2;;;;;;;
240;3;;;;;;;
241;4;;;;;;;
242;5;;;;;;;
243;6;;;;;;;
244;7;;;;;;;
245;8;;;;;;;
246;9;;;;;;;
247;10;;;;;;;
248;11;;;;;;;
249;12;;;;;;;
250;13;;;;;;;
251;0;;;;;;;
252;1;;;;;;;
253;2;;;;;;;
254;3;;;;;;;
255;4;;;;;;;
256;5;;;;;;;
257;6;;;;;;;
258;7;;;;;;;
259;8;;;;;;;
260;9;;;;;;;
261;10;;;;;;;
262;11;;;;;;;
263;12;;;;;;;
264;13;;;;;;;
265;0;;;;;;;
266;1;;;;;;;
267;2;;;;;;;
268;3;;;;;;;
269;4;;;;;;;
270;5;;;;;;;
271;6;;;;;;;
272;7;;;;;;;
273;8;;;;;;;
274;9;;;;;;;
275;10;;;;;;;
276;11;;;;;;;
277;12;;;;;;;
278;13;;;;;;;
279;0;;;;;;;
280;1;;;;;;;
281;2;;;;;;;
282;3;;;;;;;
283;4;;;;;;;
284;5;;;;;;;
285;6;;;;;;;
286;7;;;;;;;
287;8;;;;;;;
288;9;;;;;;;
289;10;;;;;;;
290;11;;;;;;;
291;12;;;;;;;
292;13;;;;;;;
293;0;;;;;;;
294;1;;;;;;;
295;2;;;;;;;
296;3;;;;;;;
297;4;;;;;;;
298;5;;;;;;;
299;6;;;;;;;
300;7;;;;;;;
301;8;;;;;;;
302;9;;;;;;;
303;10;;;;;;;
304;11;;;;;;;
305;12;;;;;;;
306;13;;;;;;;
307;0;;;;;;;
308;1;;;;;;;
309;2;;;;;;;
310;3;;;;;;;
311;4;;;;;;;
312;5;;;;;;;
313;6;;;;;;;
314;7;;;;;;;
315;8;;;;;;;
316;9;;;;;;;
317;10;;;;;;;
318;11;;;;;;;
319;12;;;;;;;
320;13;;;;;;;
321;0;;;;;;;
322;1;;;;;;;
323;2;;;;;;;
324;3;;;;;;;
325;4;;;;;;;
326;5;;;;;;;
327;6;;;;;;;
328;7;;;;;;;
329;8;;;;;;;
330;9;;;;;;;
331;10;;;;;;;
332;11;;;;;;;
333;12;;;;;;;
334;13;;;;;;;
335;0;;;;;;;
336;1;;;;;;;
337;2;;;;;;;
338;3;;;;;;;
339;4;;;;;;;
340;5;;;;;;;
341;6;;;;;;;
342;7;;;;;;;
343;8;;;;;;;
344;9;;;;;;;
